File,Cross-Entropy,Overall,Overall Binary
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/TubeEditorWindow.java,8.557948695288765,"{0.0,9.35963e-07,0.126096,0.873903}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/ui/DefaultDockableWidget.java,72.84626770019531,"{0.16281,0.837076,0.000113757,8.74057e-15}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/ui/DefaultToolButton.java,38.583571910858154,"{0.980362,0.0183597,0.000943958,0.000334124}",False
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/ui/ToolPalette.java,21.02644771337509,"{0.0114379,0.91303,0.075532,1.20478e-07}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/view/FlatVertexShader.java,26.828462600708008,"{0.655007,0.344991,2.02603e-06,0.0}",False
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/view/GLCanvasDrawer.java,6.294682568973965,"{0.0,0.0,0.508818,0.491182}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/view/TexturedVertexShader.java,17.880659759044647,"{5.38969e-13,0.00247362,0.934699,0.0628272}",True
dataset/aoi/sourcefiles/HelpPlugin/src/HelpPlugin.java,8.076667496136256,"{0.0,0.0,2.77468e-08,1.0}",True
dataset/aoi/sourcefiles/HelpPlugin/src/ChatTextPane.java,12.56399495261056,"{5.19486e-10,0.0402193,0.717704,0.242077}",True
dataset/aoi/sourcefiles/HelpPlugin/src/StringEditor.java,7.655129313468933,"{3e-20,0.017712,0.899637,0.082651}",True
dataset/argoUML/sourcefiles/src/argouml-app/src/org/argouml/application/api/Argo.java,6.606487274169922,"{9.05749e-12,1.0,5.86872e-10,0.0}",True
dataset/argoUML/sourcefiles/src/argouml-app/src/org/argouml/application/events/ArgoEventPump.java,5.372174406051636,"{0.00854576,0.991454,1.03802e-14,0.0}",True
dataset/argoUML/sourcefiles/src/argouml-app/src/org/argouml/cognitive/ui/PriorityNode.java,7.99553108215332,"{0.993417,0.00658346,7.92256e-12,0.0}",False
dataset/argoUML/sourcefiles/src/argouml-app/src/org/argouml/cognitive/ui/ToDoByType.java,14.119656682014465,"{1.14533e-12,0.00502143,0.974591,0.0203876}",True
dataset/argoUML/sourcefiles/src/argouml-app/src/org/argouml/cognitive/UnresolvableException.java,45.32072448730469,"{0.992887,0.007113,1.14254e-12,0.0}",False
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/EnumerationListModel.java,55.51017761230469,"{0.983715,0.0162848,3.53805e-10,0.0}",False
